Date,Player,Mode,Chapter,Type,Value
01/17/2022,L,C-Side,The Summit,Speed,0:01:13.389
01/17/2022,L,Farewell,Clear,Speed,0:44:56.234
01/17/2022,L,Farewell,Moon Berry,Speed,0:55:59.846
01/17/2022,L,Full Clear,Celestial Resort,Speed,0:15:28.064
01/17/2022,L,Full Clear,Core,Speed,0:15:11.572
01/17/2022,L,Full Clear,Forsaken City,Speed,0:06:02.168
01/17/2022,L,Full Clear,Golden Ridge,Speed,0:16:10.666
01/17/2022,L,Full Clear,Mirror Temple,Speed,0:24:15.013
01/17/2022,L,Full Clear,Old Site,Speed,0:07:23.768
01/17/2022,L,Full Clear,Reflection,Speed,0:11:55.513
01/17/2022,L,Full Clear,The Summit,Speed,0:34:01.428
01/17/2022,L,Full Run,100%,Speed,5:51:56.125
01/17/2022,L,Full Run,100%-,Speed,4:26:05.822
01/17/2022,L,Full Run,Any%,Speed,0:51:08.653
01/17/2022,Marcos,A-Side,Celestial Resort,Speed,0:07:37.300
01/17/2022,Marcos,A-Side,Core,Speed,0:10:45.626
01/17/2022,Marcos,A-Side,Forsaken City,Speed,0:01:17.520
01/17/2022,Marcos,A-Side,Golden Ridge,Speed,0:04:29.212
01/17/2022,Marcos,A-Side,Mirror Temple,Speed,0:06:54.290
01/17/2022,Marcos,A-Side,Old Site,Speed,0:02:19.672
01/17/2022,Marcos,A-Side,Reflection,Speed,0:08:24.611
01/17/2022,Marcos,A-Side,The Summit,Speed,0:13:34.079
01/17/2022,Marcos,Any% Split,Celestial Resort,Speed,0:07:40.156
01/17/2022,Marcos,Any% Split,Forsaken City,Speed,0:01:32.089
01/17/2022,Marcos,Any% Split,Golden Ridge,Speed,0:05:06.340
01/17/2022,Marcos,Any% Split,Mirror Temple,Speed,0:07:39.051
01/17/2022,Marcos,Any% Split,Old Site,Speed,0:02:25.622
01/17/2022,Marcos,Any% Split,Reflection,Speed,0:08:48.462
01/17/2022,Marcos,Any% Split,The Summit,Speed,0:14:29.244
01/17/2022,Marcos,B-Side,Celestial Resort,Speed,0:06:53.627
01/17/2022,Marcos,B-Side,Core,Speed,0:16:49.188
01/17/2022,Marcos,B-Side,Forsaken City,Speed,0:03:15.806
01/17/2022,Marcos,B-Side,Golden Ridge,Speed,0:08:59.665
01/17/2022,Marcos,B-Side,Mirror Temple,Speed,0:12:19.755
01/17/2022,Marcos,B-Side,Old Site,Speed,0:04:37.916
01/17/2022,Marcos,B-Side,Reflection,Speed,0:11:00.093
01/17/2022,Marcos,B-Side,The Summit,Speed,0:19:18.737
01/17/2022,Marcos,Best Possible*,Any%,Speed,0:44:36.684
01/17/2022,Marcos,Best Possible*,Any% Split,Speed,0:49:16.351
01/17/2022,Marcos,C-Side,Celestial Resort,Speed,0:01:00.520
01/17/2022,Marcos,C-Side,Core,Speed,0:03:24.918
01/17/2022,Marcos,C-Side,Forsaken City,Speed,0:00:44.693
01/17/2022,Marcos,C-Side,Golden Ridge,Speed,0:00:41.191
01/17/2022,Marcos,C-Side,Mirror Temple,Speed,0:00:33.626
01/17/2022,Marcos,C-Side,Old Site,Speed,0:00:34.051
01/17/2022,Marcos,C-Side,Reflection,Speed,0:00:57.613
01/17/2022,Marcos,C-Side,The Summit,Speed,0:01:27.074
01/17/2022,Marcos,Farewell,Clear,Speed,0:32:18.255
01/17/2022,Marcos,Farewell,Moon Berry,Speed,1:04:29.302
01/17/2022,Marcos,Full Clear,Celestial Resort,Speed,0:15:38.808
01/17/2022,Marcos,Full Clear,Core,Speed,0:14:11.360
01/17/2022,Marcos,Full Clear,Forsaken City,Speed,0:06:38.463
01/17/2022,Marcos,Full Clear,Golden Ridge,Speed,0:17:23.494
01/17/2022,Marcos,Full Clear,Mirror Temple,Speed,0:24:06.122
01/17/2022,Marcos,Full Clear,Old Site,Speed,0:06:21.310
01/17/2022,Marcos,Full Clear,Reflection,Speed,0:10:29.748
01/17/2022,Marcos,Full Clear,The Summit,Speed,0:45:58.420
01/17/2022,Marcos,Full Run,100%,Speed,5:13:55.218
01/17/2022,Marcos,Full Run,100%-,Speed,4:09:18.895
01/17/2022,Marcos,Full Run,Any%,Speed,0:47:34.385
01/17/2022,Melanie,A-Side,Celestial Resort,Speed,0:08:28.368
01/17/2022,Melanie,A-Side,Core,Speed,0:19:08.214
01/17/2022,Melanie,A-Side,Forsaken City,Speed,0:01:22.807
01/17/2022,Melanie,A-Side,Golden Ridge,Speed,0:04:38.137
01/17/2022,Melanie,A-Side,Mirror Temple,Speed,0:07:52.634
01/17/2022,Melanie,A-Side,Old Site,Speed,0:02:34.666
01/17/2022,Melanie,A-Side,Reflection,Speed,0:10:07.223
01/17/2022,Melanie,A-Side,The Summit,Speed,0:15:19.938
01/17/2022,Melanie,Any% Split,Celestial Resort,Speed,0:08:57.948
01/17/2022,Melanie,Any% Split,Forsaken City,Speed,0:01:48.477
01/17/2022,Melanie,Any% Split,Golden Ridge,Speed,0:05:16.336
01/17/2022,Melanie,Any% Split,Mirror Temple,Speed,0:09:30.282
01/17/2022,Melanie,Any% Split,Old Site,Speed,0:02:54.947
01/17/2022,Melanie,Any% Split,Reflection,Speed,0:11:48.594
01/17/2022,Melanie,Any% Split,The Summit,Speed,0:18:07.524
01/17/2022,Melanie,B-Side,Celestial Resort,Speed,1:15:46.055
01/17/2022,Melanie,B-Side,Core,Speed,1:58:48.882
01/17/2022,Melanie,B-Side,Forsaken City,Speed,0:13:49.243
01/17/2022,Melanie,B-Side,Golden Ridge,Speed,0:59:18.967
01/17/2022,Melanie,B-Side,Mirror Temple,Speed,0:42:36.392
01/17/2022,Melanie,B-Side,Old Site,Speed,0:29:59.518
01/17/2022,Melanie,B-Side,Reflection,Speed,1:11:43.686
01/17/2022,Melanie,B-Side,The Summit,Speed,2:28:58.549
01/17/2022,Melanie,Best Possible*,Any%,Speed,0:52:02.135
01/17/2022,Melanie,Best Possible*,Any% Split,Speed,0:59:30.306
01/17/2022,Melanie,C-Side,Forsaken City,Speed,0:06:26.036
01/17/2022,Melanie,Full Run,Any%,Speed,1:00:30.877

